id,direction,count,score
1,front,1,1
2,front,2,1
3,front,3,4
4,front,4,4
5,front,5,2
6,front,6,2
7,front,7,2
8,front,8,2
9,front,9,2
10,front,10,4
11,front,11,3
12,front,12,2
13,front,13,4
14,front,14,3
15,front,15,2
16,front,16,1
17,front,17,2
18,front,18,3
19,front,19,2
20,front,20,1
21,front,21,1
22,front,22,1
23,front,23,1
24,front,24,4
25,front,25,2
26,front,26,2
27,front,27,4
28,front,28,2
29,front,29,2
30,front,30,2
31,front,31,2
32,front,32,3
33,front,33,1
34,front,34,3
35,front,35,4
36,front,36,2
37,front,37,4
38,front,38,3
39,front,39,2
40,front,40,1
41,front,41,1
42,front,42,1
43,front,43,2
44,front,44,4
45,front,45,5
46,front,46,4
47,front,47,4
48,front,48,5
49,front,49,2
50,front,50,3
51,front,51,5
52,front,52,4
53,front,53,4
54,front,54,2
55,front,55,1
56,front,56,2
57,front,57,1
58,front,58,1
59,front,59,2
60,front,60,2
61,front,61,2
62,front,62,2
63,front,63,1
64,front,64,1
65,front,65,1
66,front,66,1
67,front,67,1
68,front,68,2
69,front,69,2
70,front,70,1
71,front,71,4
72,front,72,3
73,front,73,2
74,front,74,2
75,front,75,3
76,front,76,2
77,front,77,1
78,front,78,2
79,front,79,1
80,front,80,1
81,front,81,1
82,front,82,1
83,front,83,4
84,front,84,3
85,front,85,3
86,front,86,4
87,front,87,3
88,front,88,2
89,front,89,2
90,front,90,5
91,front,91,3
92,front,92,2
93,front,93,2
94,front,94,1
95,front,95,2
96,front,96,5
97,front,97,5
98,front,98,3
99,front,99,2
100,front,100,5
101,front,101,2
102,front,102,2
103,front,103,3
104,front,104,1
105,front,105,4
106,front,106,3
107,front,107,3
108,front,108,3
109,front,109,3
110,front,110,2
111,front,111,4
112,front,112,2
113,front,113,2
114,front,114,1
115,front,115,3
116,front,116,2
117,front,117,4
118,front,118,2
119,front,119,3
120,front,120,2
121,front,121,2
122,front,122,4
123,front,123,2
124,front,124,2
125,front,125,2
126,front,126,2
127,front,127,3
128,front,128,1
129,front,129,2
130,front,130,2
131,front,131,2
132,front,132,4
133,front,133,5
134,front,134,1
135,front,135,2
136,front,136,4
137,front,137,5
138,front,138,4
139,front,139,2
140,front,140,1
141,front,141,2
142,front,142,1
143,front,143,4
144,front,144,5
145,front,145,2
146,front,146,4
147,front,147,3
148,front,148,2
149,front,149,2
150,front,150,4
151,front,151,2
152,front,152,1
153,front,153,1
154,front,154,1
155,front,155,2
156,front,156,1
157,front,157,1
158,front,158,1
159,front,159,1
160,front,160,1
161,front,161,1
162,front,162,5
163,front,163,4
164,front,164,3
165,front,165,1
166,front,166,1
167,front,167,1
168,front,168,5
169,front,169,5
170,front,170,2
171,front,171,1
172,front,172,3
173,front,173,2
174,front,174,4
175,front,175,2
176,front,176,4
177,front,177,5
178,front,178,4
179,front,179,3
180,front,180,2
181,front,181,4
182,front,182,2
183,front,183,4
184,front,184,3
185,front,185,2
186,front,186,3
187,front,187,2
188,front,188,5
189,front,189,5
190,front,190,5
191,front,191,4
192,front,192,2
193,front,193,3
194,front,194,2
195,front,195,4
196,front,196,3
197,front,197,2
198,front,198,2
199,front,199,1
200,front,200,3
201,front,201,2
202,front,202,2
203,front,203,4
204,front,204,2
205,front,205,2
206,front,206,4
207,front,207,4
208,front,208,3
209,front,209,2
210,front,210,1
211,front,211,4
212,front,212,3
213,front,213,2
214,front,214,2
215,front,215,2
216,front,216,2
217,front,217,3
218,front,218,2
219,front,219,2
220,front,220,2
221,front,221,4
222,front,222,2
223,front,223,3
224,front,224,2
225,front,225,4
226,front,226,2
227,front,227,3
228,front,228,1
229,front,229,2
230,front,230,2
231,front,231,2
232,front,232,1
233,front,233,4
234,front,234,2
235,front,235,1
236,front,236,1
237,front,237,3
238,front,238,2
239,front,239,1
240,front,240,2
241,front,241,1
242,front,242,1
243,front,243,1
244,front,244,1
245,front,245,1
246,front,246,2
247,front,247,3
248,front,248,2
249,front,249,2
250,front,250,4
251,front,251,2
252,front,252,2
253,front,253,2
254,front,254,1
255,front,255,1
256,front,256,3
257,front,257,4
258,front,258,2
259,front,259,2
260,front,260,4
261,front,261,2
262,front,262,2
263,front,263,1
264,front,264,4
265,front,265,2
266,front,266,2
267,front,267,5
268,front,268,4
269,front,269,3
270,front,270,2
271,front,271,4
272,front,272,4
273,front,273,2
274,front,274,2
275,front,275,4
276,front,276,3
277,front,277,2
278,front,278,2
279,front,279,3
280,front,280,4
281,front,281,2
282,front,282,1
283,front,283,4
284,front,284,2
285,front,285,2
286,front,286,2
287,front,287,5
288,front,288,4
289,front,289,5
290,front,290,4
291,front,291,2
292,front,292,2
293,front,293,2
294,front,294,4
295,front,295,5
296,front,296,2
297,front,297,2
298,front,298,2
299,front,299,2
300,front,300,2
301,front,301,2
302,front,302,2
303,front,303,1
304,front,304,3
305,front,305,2
306,front,306,4
307,front,307,4
308,front,308,4
309,front,309,3
310,front,310,3
311,front,311,3
312,front,312,2
313,front,313,2
314,front,314,2
315,front,315,2
316,front,316,3
317,front,317,4
318,front,318,2
319,front,319,3
320,front,320,4
321,front,321,2
322,front,322,2
323,front,323,3
324,front,324,4
325,front,325,5
326,front,326,2
327,front,327,3
328,front,328,3
329,front,329,2
330,front,330,3
331,front,331,4
332,front,332,2
333,front,333,5
334,front,334,2
335,front,335,2
336,front,336,2
337,front,337,2
338,front,338,2
339,front,339,3
340,front,340,2
341,front,341,1
342,front,342,1
343,front,343,2
344,front,344,2
345,front,345,2
346,front,346,4
347,front,347,2
348,front,348,2
349,front,349,3
350,front,350,2
351,front,351,2
352,front,352,4
353,front,353,2
354,front,354,4
355,front,355,2
356,front,356,2
357,front,357,5
358,front,358,2
359,front,359,2
360,front,360,2
361,front,361,1
362,front,362,2
363,front,363,2
364,front,364,2
365,front,365,4
366,front,366,2
367,front,367,2
368,front,368,2
369,front,369,2
370,front,370,2
371,front,371,4
372,front,372,3
373,front,373,2
374,front,374,2
375,front,375,2
376,front,376,2
377,front,377,4
378,front,378,2
379,front,379,2
380,front,380,2
381,front,381,2
382,front,382,1
383,front,383,2
384,front,384,2
385,front,385,3
386,front,386,4
387,front,387,1
388,front,388,2
389,front,389,4
390,front,390,4
391,front,391,3
392,front,392,2
393,front,393,2
394,front,394,4
395,front,395,3
396,front,396,3
397,front,397,5
398,front,398,2
399,front,399,2
400,front,400,2
401,front,401,1
402,front,402,1
403,front,403,1
404,front,404,1
405,front,405,1
406,front,406,1
407,front,407,1
408,front,408,1
409,front,409,1
410,front,410,1
411,front,411,1
412,front,412,1
413,front,413,1
414,front,414,2
415,front,415,2
416,front,416,2
417,front,417,1
418,front,418,1
419,front,419,1
420,front,420,2
421,front,421,1
422,front,422,1
423,front,423,1
424,front,424,1
425,front,425,2
426,front,426,2
427,front,427,2
428,front,428,1
429,front,429,1
430,front,430,1
431,front,431,2
432,front,432,3
433,front,433,2
434,front,434,3
435,front,435,2
436,front,436,4
437,front,437,3
438,front,438,2
439,front,439,1
440,front,440,1
441,front,441,2
442,front,442,1
443,front,443,1
444,front,444,5
445,front,445,5
446,front,446,4
447,front,447,4
448,front,448,3
449,front,449,2
450,front,450,3
451,front,451,2
452,front,452,1
453,front,453,1
454,front,454,1
455,front,455,3
456,front,456,2
457,front,457,2
458,front,458,2
459,front,459,1
460,front,460,3
461,front,461,2
462,front,462,2
463,front,463,2
464,front,464,2
465,front,465,2
466,front,466,1
467,front,467,3
468,front,468,4
469,front,469,2
470,front,470,2
471,front,471,1
472,front,472,1
473,front,473,2
474,front,474,1
475,front,475,2
476,front,476,2
477,front,477,3
478,front,478,3
479,front,479,1
480,front,480,2
481,front,481,2
482,front,482,2
483,front,483,3
484,front,484,3
485,front,485,1
486,front,486,2
487,front,487,1
488,front,488,1
489,front,489,1
490,front,490,1
491,front,491,4
492,front,492,2
493,front,493,2
494,front,494,3
495,front,495,1
496,front,496,2
497,front,497,2
498,front,498,2
499,front,499,2
500,front,500,2
501,front,501,1
502,front,502,1
503,front,503,2
504,front,504,1
505,front,505,1
506,front,506,1
507,front,507,1
508,front,508,1
509,front,509,1
510,front,510,1
511,front,511,1
512,front,512,1
513,front,513,1
514,front,514,2
515,front,515,1
516,front,516,1
517,front,517,2
518,front,518,2
519,front,519,1
520,front,520,1
521,front,521,3
522,front,522,2
523,front,523,1
524,front,524,2
525,front,525,2
526,front,526,2
527,front,527,4
528,front,528,3
529,front,529,3
530,front,530,4
531,front,531,3
532,front,532,2
533,front,533,2
534,front,534,5
535,front,535,2
536,front,536,5
537,front,537,3
538,front,538,2
539,front,539,2
540,front,540,3
541,front,541,3
542,front,542,4
543,front,543,2
544,front,544,2
545,front,545,4
546,front,546,3
547,front,547,2
548,front,548,2
549,front,549,2
550,front,550,1
551,front,551,2
552,front,552,4
553,front,553,2
554,front,554,5
555,front,555,3
556,front,556,2
557,front,557,2
558,front,558,2
559,front,559,1
560,front,560,1
561,front,561,1
562,front,562,1
563,front,563,1
564,front,564,1
565,front,565,1
566,front,566,1
567,front,567,3
568,front,568,2
569,front,569,2
570,front,570,2
571,front,571,4
572,front,572,3
573,front,573,2
574,front,574,2
575,front,575,2
576,front,576,2
577,front,577,2
578,front,578,4
579,front,579,2
580,front,580,2
581,front,581,3
582,front,582,4
583,front,583,3
584,front,584,3
585,front,585,3
586,front,586,3
587,front,587,2
588,front,588,2
589,front,589,3
590,front,590,5
591,front,591,3
592,front,592,3
593,front,593,1
594,front,594,1
595,front,595,3
596,front,596,2
597,front,597,3
598,front,598,2
599,front,599,1
600,front,600,2
601,front,601,3
602,front,602,2
603,front,603,2
604,front,604,2
605,front,605,4
606,front,606,4
607,front,607,3
608,front,608,3
609,front,609,4
610,front,610,3
611,front,611,1
612,front,612,1
613,front,613,1
614,front,614,1
615,front,615,1
616,front,616,2
617,front,617,3
618,front,618,1
619,front,619,3
620,front,620,3
621,front,621,1
622,front,622,2
623,front,623,2
624,front,624,1
625,front,625,1
626,front,626,1
627,front,627,1
628,front,628,1
629,front,629,3
630,front,630,2
631,front,631,2
632,front,632,3
633,front,633,4
634,front,634,3
635,front,635,3
636,front,636,3
637,front,637,2
638,front,638,2
639,front,639,1
640,front,640,3
641,front,641,1
642,front,642,1
643,front,643,1
644,front,644,1
645,front,645,1
646,front,646,1
647,front,647,1
648,front,648,1
649,front,649,2
650,front,650,3
651,front,651,2
652,front,652,1
653,front,653,5
654,front,654,1
655,front,655,1
656,front,656,1
657,front,657,1
658,front,658,1
659,front,659,1
660,front,660,1
661,front,661,3
662,front,662,2
663,front,663,5
664,front,664,5
665,front,665,4
666,front,666,2
667,front,667,2
668,front,668,2
669,front,669,1
670,front,670,3
671,front,671,1
672,front,672,1
673,front,673,1
674,front,674,1
675,front,675,3
676,front,676,1
677,front,677,2
678,front,678,3
679,front,679,2
680,front,680,2
681,front,681,3
682,front,682,2
683,front,683,2
684,front,684,4
685,front,685,2
686,front,686,1
687,front,687,1
688,front,688,1
689,front,689,1
690,front,690,3
691,front,691,3
692,front,692,2
693,front,693,2
694,front,694,4
695,front,695,1
696,front,696,1
697,front,697,1
698,front,698,1
699,front,699,4
700,front,700,2
701,front,701,1
702,front,702,1
703,front,703,1
704,front,704,1
705,front,705,4
706,front,706,1
707,front,707,1
708,front,708,1
709,front,709,2
710,front,710,4
711,front,711,1
712,front,712,1
713,front,713,1
714,front,714,1
715,front,715,1
716,front,716,4
717,front,717,2
718,front,718,5
719,front,719,1
720,front,720,4
721,front,721,2
722,front,722,1
723,front,723,2
724,front,724,4
725,front,725,2
726,front,726,1
727,front,727,3
728,front,728,2
729,front,729,1
730,front,730,1
731,front,731,1
732,front,732,1
733,front,733,1
734,front,734,1
735,front,735,1
736,front,736,1
737,front,737,1
738,front,738,1
739,front,739,1
740,front,740,2
741,front,741,3
742,front,742,2
743,front,743,2
744,front,744,3
745,front,745,2
746,front,746,1
747,front,747,4
748,front,748,2
749,front,749,5
750,front,750,2
751,front,751,3
752,front,752,3
753,front,753,2
754,front,754,3
755,front,755,4
756,front,756,5
757,front,757,4
758,front,758,1
759,front,759,2
760,front,760,1
761,front,761,1
762,front,762,1
763,front,763,3
764,front,764,3
765,front,765,1
766,front,766,1
767,front,767,1
768,front,768,1
769,front,769,3
770,front,770,2
771,front,771,1
772,front,772,1
773,front,773,1
774,front,774,2
775,front,775,2
776,front,776,2
777,front,777,3
778,front,778,1
779,front,779,1
780,front,780,1
781,front,781,5
782,front,782,3
783,front,783,2
784,front,784,3
785,front,785,2
786,front,786,5
787,front,787,4
788,front,788,2
789,front,789,2
790,front,790,1
791,front,791,1
792,front,792,1
793,front,793,1
794,front,794,5
795,front,795,2
796,front,796,2
797,front,797,2
798,front,798,2
799,front,799,1
800,front,800,4
801,front,801,2
802,front,802,1
803,front,803,1
804,front,804,4
805,front,805,5
806,front,806,2
807,front,807,2
808,front,808,4
809,front,809,2
810,front,810,1
811,front,811,2
812,front,812,1
813,front,813,2
814,front,814,1
815,front,815,1
816,front,816,1
817,front,817,1
818,front,818,1
819,front,819,1
820,front,820,1
821,front,821,1
822,front,822,1
823,front,823,1
824,front,824,1
825,front,825,1
826,front,826,1
827,front,827,1
828,front,828,5
829,front,829,4
830,front,830,4
831,front,831,1
832,front,832,2
833,front,833,1
834,front,834,1
835,front,835,1
836,front,836,3
837,front,837,2
838,front,838,1
839,front,839,1
840,front,840,1
841,front,841,4
842,front,842,2
843,front,843,1
844,front,844,1
845,front,845,1
846,front,846,1
847,front,847,1
848,front,848,1
849,front,849,1
850,front,850,1
851,front,851,3
852,front,852,2
853,front,853,2
854,front,854,1
855,front,855,1
856,front,856,3
857,front,857,2
858,front,858,4
859,front,859,3
860,front,860,3
861,front,861,2
862,front,862,2
863,front,863,2
864,front,864,4
865,front,865,2
866,front,866,3
867,front,867,1
868,front,868,3
869,front,869,1
870,front,870,1
871,front,871,3
872,front,872,2
873,front,873,1
874,front,874,4
875,front,875,3
876,front,876,2
877,front,877,4
878,front,878,2
879,front,879,2
880,front,880,2
881,front,881,2
882,front,882,3
883,front,883,2
884,front,884,2
885,front,885,3
886,front,886,2
887,front,887,1
888,front,888,1
889,front,889,1
890,front,890,1
891,front,891,1
892,front,892,3
893,front,893,2
894,front,894,4
895,front,895,2
896,front,896,1
897,front,897,3
898,front,898,1
899,front,899,1
900,front,900,1
901,front,901,4
902,front,902,1
903,front,903,4
904,front,904,2
905,front,905,2
906,front,906,1
907,front,907,1
908,front,908,3
909,front,909,2
910,front,910,4
911,front,911,2
912,front,912,2
913,front,913,1
914,front,914,1
915,front,915,1
916,front,916,2
917,front,917,1
918,front,918,2
919,front,919,1
920,front,920,1
921,front,921,3
922,front,922,5
923,front,923,2
924,front,924,3
925,front,925,2
926,front,926,3
927,front,927,2
928,front,928,1
929,front,929,3
930,front,930,2
931,front,931,2
932,front,932,3
933,front,933,2
934,front,934,2
935,front,935,3
936,front,936,2
937,front,937,2
938,front,938,2
939,front,939,2
940,front,940,1
941,front,941,1
942,front,942,4
943,front,943,3
944,front,944,2
945,front,945,2
946,front,946,2
947,front,947,5
948,front,948,4
949,front,949,2
950,front,950,2
951,front,951,2
952,front,952,1
953,front,953,4
954,front,954,3
955,front,955,2
956,front,956,4
957,front,957,1
958,front,958,3
959,front,959,2
960,front,960,3
961,front,961,4
962,front,962,2
963,front,963,5
964,front,964,3
965,front,965,3
966,front,966,2
967,front,967,2
968,front,968,2
969,front,969,5
970,front,970,5
971,front,971,5
972,front,972,3
973,front,973,3
974,front,974,2
975,front,975,1
976,front,976,1
977,front,977,4
978,front,978,2
979,front,979,4
980,front,980,2
981,front,981,3
982,front,982,2
983,front,983,3
984,front,984,1
985,front,985,3
986,front,986,1
987,front,987,3
988,front,988,2
989,front,989,1
990,front,990,1
991,front,991,1
992,front,992,2
993,front,993,2
994,front,994,4
995,front,995,3
996,front,996,2
997,front,997,4
998,front,998,2
999,front,999,4
1000,front,1000,1
1001,front,1001,1
1002,front,1002,1
1003,front,1003,2
1004,front,1004,2
1005,front,1005,3
1006,front,1006,2
1007,front,1007,4
1008,front,1008,2
1009,front,1009,1
1010,front,1010,3
1011,front,1011,2
1012,front,1012,4
1013,front,1013,4
1014,front,1014,2
1015,front,1015,2
1016,front,1016,1
1017,front,1017,1
1018,front,1018,1
1019,front,1019,1
1020,front,1020,1
1021,front,1021,4
1022,front,1022,3
1023,front,1023,2
1024,front,1024,3
1025,front,1025,3
1026,front,1026,3
1027,front,1027,2
1028,front,1028,2
1029,front,1029,1
1030,front,1030,1
1031,front,1031,1
1032,front,1032,1
1033,front,1033,2
1034,front,1034,1
1035,front,1035,1
1036,front,1036,1
1037,front,1037,1
1038,front,1038,2
1039,front,1039,1
1040,front,1040,1
1041,front,1041,2
1042,front,1042,2
1043,front,1043,2
1044,front,1044,3
1045,front,1045,2
1046,front,1046,1
1047,front,1047,1
1048,front,1048,3
1049,front,1049,2
1050,front,1050,2
1051,front,1051,1
1052,front,1052,1
1053,front,1053,3
1054,front,1054,1
1055,front,1055,1
1056,front,1056,1
1057,front,1057,3
1058,front,1058,1
1059,front,1059,1
1060,front,1060,1
1061,front,1061,1
1062,front,1062,1
1063,front,1063,2
1064,front,1064,3
1065,front,1065,3
1066,front,1066,1
1067,front,1067,1
1068,front,1068,3
1069,front,1069,3
1070,front,1070,2
1071,front,1071,1
1072,front,1072,2
1073,front,1073,2
1074,front,1074,1
1075,front,1075,2
1076,front,1076,1
1077,front,1077,1
1078,front,1078,1
1079,front,1079,1
1080,front,1080,1
1081,front,1081,1
1082,front,1082,2
1083,front,1083,3
1084,front,1084,2
1085,front,1085,1
1086,front,1086,1
1087,front,1087,1
1088,front,1088,2
1089,front,1089,1
1090,front,1090,5
1091,front,1091,4
1092,front,1092,2
1093,front,1093,2
1094,front,1094,2
1095,front,1095,2
1096,front,1096,3
1097,front,1097,4
1098,front,1098,2
1099,front,1099,2
1100,front,1100,1
1101,front,1101,1
1102,front,1102,1
1103,front,1103,1
1104,front,1104,1
1105,front,1105,2
1106,front,1106,1
1107,front,1107,1
1108,front,1108,2
1109,front,1109,1
1110,front,1110,1
1111,front,1111,3
1112,front,1112,1
1113,front,1113,1
1114,front,1114,3
1115,front,1115,2
1116,front,1116,1
1117,front,1117,1
1118,front,1118,1
1119,front,1119,1
1120,front,1120,1
1121,front,1121,1
1122,front,1122,2
1123,front,1123,2
1124,front,1124,3
1125,front,1125,4
1126,front,1126,2
1127,front,1127,1
1128,front,1128,1
1129,front,1129,1
1130,front,1130,1
1131,front,1131,2
1132,front,1132,1
1133,front,1133,1
1134,front,1134,1
1135,front,1135,2
1136,front,1136,2
1137,front,1137,1
1138,front,1138,1
1139,front,1139,1
1140,front,1140,1
1141,front,1141,5
1142,front,1142,5
1143,front,1143,3
1144,front,1144,4
1145,front,1145,2
1146,front,1146,4
1147,front,1147,3
1148,front,1148,2
1149,front,1149,1
1150,front,1150,3
1151,front,1151,1
1152,front,1152,1
1153,front,1153,4
1154,front,1154,2
1155,front,1155,3
1156,front,1156,4
1157,front,1157,2
1158,front,1158,4
1159,front,1159,2
1160,front,1160,3
1161,front,1161,5
1162,front,1162,3
1163,front,1163,2
1164,front,1164,4
1165,front,1165,2
1166,front,1166,5
1167,front,1167,3
1168,front,1168,1
1169,front,1169,1
1170,front,1170,5
1171,front,1171,4
1172,front,1172,4
1173,front,1173,2
1174,front,1174,2
1175,front,1175,2
1176,front,1176,4
1177,front,1177,2
1178,front,1178,1
1179,front,1179,3
1180,front,1180,1
1181,front,1181,2
1182,front,1182,1
1183,front,1183,1
1184,front,1184,1
1185,front,1185,1
1186,front,1186,4
1187,front,1187,2
1188,front,1188,2
1189,front,1189,2
1190,front,1190,1
1191,front,1191,1
1192,front,1192,1
1193,front,1193,1
1194,front,1194,1
1195,front,1195,2
1196,front,1196,1
1197,front,1197,2
1198,front,1198,2
1199,front,1199,1
1200,front,1200,2
1201,front,1201,1
1202,front,1202,1
1203,front,1203,1
1204,front,1204,4
1205,front,1205,4
1206,front,1206,3
1207,front,1207,2
1208,front,1208,2
1209,front,1209,3
1210,front,1210,3
1211,front,1211,2
1212,front,1212,2
1213,front,1213,1
1214,front,1214,3
1215,front,1215,2
1216,front,1216,2
1217,front,1217,1
1218,front,1218,1
1219,front,1219,2
1220,front,1220,1
1221,front,1221,2
1222,front,1222,1
1223,front,1223,2
1224,front,1224,1
1225,front,1225,2
1226,front,1226,2
1227,front,1227,2
1228,front,1228,1
1229,front,1229,1
1230,front,1230,1
1231,front,1231,1
1232,front,1232,3
1233,front,1233,2
1234,front,1234,2
1235,front,1235,3
1236,front,1236,2
1237,front,1237,1
1238,front,1238,1
1239,front,1239,1
1240,front,1240,1
1241,front,1241,1
1242,front,1242,1
1243,front,1243,1
1244,front,1244,2
1245,front,1245,1
1246,front,1246,1
1247,front,1247,1
1248,front,1248,1
1249,front,1249,1
1250,front,1250,1
1251,front,1251,4
1252,front,1252,4
1253,front,1253,1
1254,front,1254,3
1255,front,1255,2
1256,front,1256,3
1257,front,1257,4
1258,front,1258,1
1259,front,1259,3
1260,front,1260,1
1261,front,1261,1
1262,front,1262,1
1263,front,1263,1
1264,front,1264,1
1265,front,1265,3
1266,front,1266,1
1267,front,1267,1
1268,front,1268,1
1269,front,1269,1
1270,front,1270,1
1271,front,1271,1
1272,front,1272,1
1273,front,1273,4
1274,front,1274,1
1275,front,1275,3
1276,front,1276,2
1277,front,1277,1
1278,front,1278,3
1279,front,1279,3
1280,front,1280,5
1281,front,1281,2
1282,front,1282,2
1283,front,1283,1
1284,front,1284,1
1285,front,1285,2
1286,front,1286,1
1287,front,1287,1
1288,front,1288,1
1289,front,1289,1
1290,front,1290,1
1291,front,1291,1
1292,front,1292,1
1293,front,1293,1
1294,front,1294,1
1295,front,1295,1
1296,front,1296,2
1297,front,1297,1
1298,front,1298,1
1299,front,1299,1
1300,front,1300,1
1301,front,1301,1
1302,front,1302,1
1303,front,1303,1
1304,front,1304,1
1305,front,1305,2
1306,front,1306,1
1307,front,1307,1
1308,front,1308,1
1309,front,1309,1
1310,front,1310,1
1311,front,1311,1
1312,front,1312,1
1313,front,1313,1
1314,front,1314,1
1315,front,1315,4
1316,front,1316,3
1317,front,1317,2
1318,front,1318,3
1319,front,1319,4
1320,front,1320,2
1321,front,1321,1
1322,front,1322,1
1323,front,1323,1
1324,front,1324,4
1325,front,1325,2
1326,front,1326,3
1327,front,1327,1
1328,front,1328,1
1329,front,1329,1
1330,front,1330,1
1331,front,1331,1
1332,front,1332,3
1333,front,1333,1
1334,front,1334,1
1335,front,1335,1
1336,front,1336,1
1337,front,1337,1
1338,front,1338,3
1339,front,1339,2
1340,front,1340,3
1341,front,1341,2
1342,front,1342,1
1343,front,1343,4
1344,front,1344,3
1345,front,1345,2
1346,front,1346,1
1347,front,1347,1
1348,front,1348,1
1349,front,1349,5
1350,front,1350,3
1351,front,1351,2
1352,front,1352,2
1353,front,1353,4
1354,front,1354,2
1355,front,1355,1
1356,front,1356,1
1357,front,1357,1
1358,front,1358,1
1359,front,1359,1
1360,front,1360,1
1361,front,1361,1
1362,front,1362,2
1363,front,1363,1
1364,front,1364,1
1365,front,1365,4
1366,front,1366,2
1367,front,1367,1
1368,front,1368,1
1369,front,1369,1
1370,front,1370,5
1371,front,1371,3
1372,front,1372,1
1373,front,1373,1
1374,front,1374,1
1375,front,1375,1
1376,front,1376,1
1377,front,1377,1
1378,front,1378,3
1379,front,1379,3
1380,front,1380,2
1381,front,1381,3
1382,front,1382,3
1383,front,1383,3
1384,front,1384,2
1385,front,1385,1
1386,front,1386,1
1387,front,1387,1
1388,front,1388,1
1389,front,1389,4
1390,front,1390,2
1391,front,1391,1
1392,front,1392,1
1393,front,1393,3
1394,front,1394,2
1395,front,1395,1
1396,front,1396,1
1397,front,1397,1
1398,front,1398,1
1399,front,1399,1
1400,front,1400,5
1401,front,1401,3
1402,front,1402,2
1403,front,1403,2
1404,front,1404,2
1405,front,1405,2
1406,front,1406,4
1407,front,1407,2
1408,front,1408,3
1409,front,1409,1
1410,front,1410,1
1411,front,1411,4
1412,front,1412,4
1413,front,1413,5
1414,front,1414,3
1415,front,1415,2
1416,front,1416,1
1417,front,1417,1
1418,front,1418,1
1419,front,1419,1
1420,front,1420,4
1421,front,1421,2
1422,front,1422,2
1423,front,1423,3
1424,front,1424,1
1425,front,1425,1
1426,front,1426,1
1427,front,1427,1
1428,front,1428,1
1429,front,1429,1
1430,front,1430,1
1431,front,1431,3
1432,front,1432,1
1433,front,1433,1
1434,front,1434,1
1435,front,1435,4
1436,front,1436,2
