id,direction,count,score
1,front,1,4
2,front,2,4
3,front,3,4
4,front,4,5
5,front,5,2
6,front,6,4
7,front,7,2
8,front,8,4
9,front,9,5
10,front,10,4
11,front,11,1
12,front,12,4
13,front,13,5
14,front,14,2
15,front,15,2
16,front,16,1
17,front,17,4
18,front,18,3
19,front,19,4
20,front,20,2
21,front,21,1
22,front,22,3
23,front,23,3
24,front,24,4
25,front,25,2
26,front,26,2
27,front,27,1
28,front,28,3
29,front,29,2
30,front,30,1
31,front,31,2
32,front,32,1
33,front,33,1
34,front,34,1
35,front,35,1
36,front,36,1
37,front,37,2
38,front,38,1
39,front,39,1
40,front,40,1
41,front,41,2
42,front,42,2
43,front,43,3
44,front,44,1
45,front,45,1
46,front,46,1
47,front,47,2
48,front,48,3
49,front,49,1
50,front,50,1
51,front,51,1
52,front,52,3
53,front,53,2
54,front,54,1
55,front,55,2
56,front,56,1
57,front,57,4
58,front,58,5
59,front,59,3
60,front,60,2
61,front,61,1
62,front,62,2
63,front,63,3
64,front,64,1
65,front,65,1
66,front,66,1
67,front,67,2
68,front,68,4
69,front,69,2
70,front,70,1
71,front,71,3
72,front,72,4
73,front,73,4
74,front,74,5
75,front,75,4
76,front,76,3
77,front,77,2
78,front,78,2
79,front,79,1
80,front,80,4
81,front,81,4
82,front,82,2
83,front,83,4
84,front,84,1
85,front,85,4
86,front,86,5
87,front,87,2
88,front,88,1
89,front,89,1
90,front,90,4
91,front,91,4
92,front,92,4
93,front,93,2
94,front,94,4
95,front,95,4
96,front,96,4
97,front,97,5
98,front,98,2
99,front,99,1
100,front,100,1
101,front,101,2
102,front,102,1
103,front,103,4
104,front,104,2
105,front,105,4
106,front,106,1
107,front,107,5
108,front,108,2
109,front,109,1
110,front,110,2
111,front,111,2
112,front,112,1
113,front,113,1
114,front,114,4
115,front,115,4
116,front,116,2
117,front,117,4
118,front,118,1
119,front,119,1
120,front,120,4
121,front,121,4
122,front,122,5
123,front,123,2
124,front,124,2
125,front,125,2
126,front,126,4
127,front,127,4
128,front,128,1
129,front,129,2
130,front,130,1
131,front,131,1
132,front,132,1
133,front,133,2
134,front,134,1
135,front,135,4
136,front,136,5
137,front,137,5
138,front,138,2
139,front,139,2
140,front,140,2
141,front,141,5
142,front,142,4
143,front,143,4
144,front,144,5
145,front,145,4
146,front,146,5
147,front,147,2
148,front,148,4
149,front,149,4
150,front,150,2
151,front,151,2
152,front,152,4
153,front,153,1
154,front,154,1
155,front,155,2
156,front,156,1
157,front,157,3
158,front,158,2
159,front,159,2
